-----------------------------------------------------------------------------------------------------------------------------------
                                        S I S T E M A S     D E     M E D I A C I O N                                              
Fecha del reporte: 26/12/2016 10:00                                                                                                
-----------------------------------------------------------------------------------------------------------------------------------
 
-----------------------------------------------------------------------------------------------------------------------------------
Reporte generado a partir del 17 de Octubre de 2016  al   26 de Diciembre de 2016 a las 10:01:23 AM.

TOTAL DE EVENTOS: 11487              MONTO TOTAL DE LOS EVENTOS EN PESOS (M.N): 2,868,700.00
-----------------------------------------------------------------------------------------------------------------------------------
 
 
REGION	FOLIO		FECHA Y HORA		MONTO	CONSUMO
R09	000000003405166	2016-12-09 11:17:28	100.00	Donacion 100
R09	000000005955781	2016-12-09 11:22:18	500.00	Donacion 500
R09	000000006425638	2016-12-09 11:24:51	300.00	Donacion 300
R09	000000005925393	2016-12-09 11:26:57	500.00	Donacion 500
R09	000000008990846	2016-12-09 11:29:46	100.00	Donacion 100
R09	000000004667338	2016-12-09 11:32:15	100.00	Donacion 100
R09	000000006366774	2016-12-09 11:38:34	100.00	Donacion 100
R09	000000006334740	2016-12-09 11:42:30	200.00	Donacion 200
R07	000000006123563	2016-12-09 11:48:22	300.00	Donacion 300
R08	000000008146880	2016-12-09 11:51:36	200.00	Donacion 200
R06	000000004735150	2016-12-09 12:04:54	300.00	Donacion 300
R07	000000007558041	2016-12-09 12:11:47	200.00	Donacion 200
R09	000000003758593	2016-12-09 12:19:12	100.00	Donacion 100
R09	000000004405631	2016-12-09 12:21:46	200.00	Donacion 200
R07	000000004312650	2016-12-09 12:23:08	100.00	Donacion 100
R02	000000001846252	2016-12-09 12:23:51	200.00	Donacion 200
R09	000000006282475	2016-12-09 12:28:04	500.00	Donacion 500
R09	000000005509899	2016-12-09 12:29:58	500.00	Donacion 500
R09	000000009988453	2016-12-09 12:33:43	500.00	Donacion 500
R09	000000001952854	2016-12-09 12:36:37	500.00	Donacion 500
R09	000000006700223	2016-12-09 12:48:19	500.00	Donacion 500
R06	000000003453045	2016-12-09 12:48:27	100.00	Donacion 100
R09	000000005022620	2016-12-09 12:49:59	500.00	Donacion 500
R09	000000005407552	2016-12-09 13:06:21	500.00	Donacion 500
R09	000000001570995	2016-12-09 13:12:41	100.00	Donacion 100
R06	000000005248684	2016-12-09 13:16:37	100.00	Donacion 100
R09	000000009428913	2016-12-09 13:17:50	500.00	Donacion 500
R09	000000001801415	2016-12-09 13:21:31	200.00	Donacion 200
R09	000000003168306	2016-12-09 13:23:44	100.00	Donacion 100
R04	000000001184034	2016-12-09 13:47:21	200.00	Donacion 200
R09	000000007445896	2016-12-09 13:56:10	500.00	Donacion 500
R03	000000009376354	2016-12-09 14:23:36	100.00	Donacion 100
R09	000000002818195	2016-12-09 14:25:15	500.00	Donacion 500
R09	000000007815600	2016-12-09 14:25:53	100.00	Donacion 100
R09	000000007993750	2016-12-09 14:35:50	500.00	Donacion 500
R09	000000001358233	2016-12-09 14:50:03	100.00	Donacion 100
R09	000000008040223	2016-12-09 14:51:12	300.00	Donacion 300
R04	000000001702253	2016-12-09 14:58:58	300.00	Donacion 300
R09	000000002926767	2016-12-09 15:59:28	300.00	Donacion 300
R09	000000005603727	2016-12-09 16:35:12	200.00	Donacion 200
R06	000000008583242	2016-12-09 16:52:56	100.00	Donacion 100
R09	000000008091368	2016-12-09 17:47:03	100.00	Donacion 100
R05	000000002470355	2016-12-09 17:48:56	500.00	Donacion 500
R09	000000009324545	2016-12-09 17:51:01	300.00	Donacion 300
R04	000000008278515	2016-12-09 17:52:19	100.00	Donacion 100
R09	000000007344126	2016-12-09 17:54:42	200.00	Donacion 200
R05	000000008427992	2016-12-09 18:34:53	200.00	Donacion 200
R03	000000009781093	2016-12-09 18:56:42	500.00	Donacion 500
